Handle,All,Standings,UnStandings,Percentage
ahmedmagdyoff,85,63,24,100.00%
hosamahmed816,84,84,0,98.82%
3moSeifSalah,84,82,2,98.82%
mennahelal882,84,82,2,98.82%
MalkFares,76,72,4,89.41%
Mazen.Yehia,74,53,21,87.06%
basma108,73,72,1,85.88%
abdallahnabil209,73,73,0,85.88%
nehadelsawi,72,72,0,84.71%
Ahmed_Hossam_69,70,69,1,82.35%
Bassant_Amr,68,62,6,80.00%
eissaali134,65,65,0,76.47%
einareman30,65,65,0,76.47%
yoka12400,64,64,0,75.29%
Shahd_Shahat,58,52,7,68.24%
afnaneissa10,55,22,34,64.71%
mohamedloulah,52,52,0,61.18%
Yousef_sabriy,50,47,3,58.82%
zainab_mahmoud00,45,45,0,52.94%
Marwan_Mokhtar,45,45,0,52.94%
mo3taz.hassan20,43,43,0,50.59%
fady_moawad,42,38,4,49.41%
emad_gaheen,39,38,1,45.88%
Bosika.,39,39,0,45.88%
Basmala_Emad340,39,39,0,45.88%
Ziad_Sameh123,37,37,0,43.53%
yaraelzoghby8,37,37,0,43.53%
elhossiny_moawad,36,36,0,42.35%
solimnmohamed,32,31,1,37.65%
mohamedalsayed234e,31,31,0,36.47%
ZiyadAshraf111,31,16,15,36.47%
Salah_Al_Din,29,28,1,34.12%
AhmedAshraf06,27,25,2,31.76%
Moaz_Waleed_22,26,26,0,30.59%
Royce_22,25,25,0,29.41%
FadyWagih130,25,25,0,29.41%
Abdallh_Mashaly,24,24,0,28.24%
Youssef_Shapaan,23,23,0,27.06%
BasmaRamadanAli,22,13,9,25.88%
emaneinar,19,19,0,22.35%
neama_yassein,19,19,0,22.35%
anton_me,19,18,1,22.35%
MOHANNADloveCODE,19,3,16,22.35%
Reem_Diab3,18,18,0,21.18%
Bahaa_Abdelsalam,18,18,0,21.18%
Aabdoashraf12,18,18,0,21.18%
jasminehab_,18,18,0,21.18%
Ahmed_Gamal_74,16,15,1,18.82%
Gamal_Ghost,14,14,0,16.47%
Abdelrahman.Mo7,12,3,9,14.12%
ORKA0007,10,10,0,11.76%
Z3kas,10,10,0,11.76%
malaks,10,10,0,11.76%
fa7l_PROPLEM_SOLVING,9,9,0,10.59%
Maha_osama,9,9,0,10.59%
Abdelrahmqn,7,7,0,8.24%
yohanna24,7,7,0,8.24%
Markbahy,5,3,2,5.88%
mysticaltop,5,5,0,5.88%
Ben_reda,4,1,3,4.71%
Galal_10,3,3,0,3.53%
MiRVv,3,3,0,3.53%
Eng.Malak143,3,3,0,3.53%
king_sons,2,2,0,2.35%
ansessam994,2,2,0,2.35%
Snapmoza,2,2,0,2.35%
fatmaemam293,2,1,2,2.35%
Adham_A1,1,1,0,1.18%
EngAhmedAdel,1,1,0,1.18%
aseemgamal,1,1,0,1.18%
mo_safwat23,1,1,0,1.18%
NOUR35TAMER,1,1,0,1.18%
MoHaMeD-22-_-,1,1,0,1.18%
A7Med_Ma7Moud,0,0,0,0.00%
HosamZakaria,0,0,0,0.00%
johnwagihsaber,0,0,0,0.00%
Mohamed_Hassan9,0,0,0,0.00%
elhookshtripledooksh,0,0,0,0.00%
mohamedgharib1p,0,0,0,0.00%
s.e.i.f,0,0,0,0.00%
moxoc,0,0,0,0.00%
ENGeyed,0,0,0,0.00%
Nagisa-Furukawa,0,0,0,0.00%
